"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.664923600E-2,-1.968000054E0,3.744000196E0,8.344050407E0
4.079823000E-2,-1.201950073E0,3.609000206E0,8.899950027E0
5.679823200E-2,-1.126049995E0,3.436950207E0,8.956950188E0
7.290067000E-2,-1.087950110E0,3.091950178E0,8.554950714E0
9.290067000E-2,-9.340500236E-1,2.671050072E0,8.344050407E0
1.129006700E-1,-9.340500236E-1,2.671050072E0,8.344050407E0
1.329006700E-1,-9.340500236E-1,2.671050072E0,8.344050407E0
1.529006700E-1,-9.540000558E-1,2.058000088E0,8.095050812E0
1.729006700E-1,-9.540000558E-1,2.058000088E0,8.095050812E0
1.929006700E-1,1.075049996E0,1.254000068E0,8.670000076E0
2.129006700E-1,1.075049996E0,1.254000068E0,8.670000076E0
2.329006700E-1,1.180500090E-1,1.291950107E0,9.666000366E0
2.529006700E-1,1.180500090E-1,1.291950107E0,9.666000366E0
2.729006700E-1,1.180500090E-1,1.291950107E0,9.666000366E0
2.929006700E-1,2.148000002E0,-5.830500126E-1,1.004805088E1
3.129006700E-1,2.148000002E0,-5.830500126E-1,1.004805088E1
3.329006700E-1,2.148000002E0,-5.830500126E-1,1.004805088E1
3.529006700E-1,2.148000002E0,-5.830500126E-1,1.004805088E1
3.729006700E-1,2.148000002E0,-5.830500126E-1,1.004805088E1
3.929006700E-1,6.730500460E-1,-1.387050033E0,7.942050457E0
4.129006700E-1,6.730500460E-1,-1.387050033E0,7.942050457E0
4.329006700E-1,9.990000725E-1,-2.019000053E0,8.171999931E0
4.529006700E-1,9.990000725E-1,-2.019000053E0,8.171999931E0
4.729006700E-1,9.990000725E-1,-2.019000053E0,8.171999931E0
4.929006700E-1,9.990000725E-1,-2.019000053E0,8.171999931E0
5.129006700E-1,9.990000725E-1,-2.019000053E0,8.171999931E0
5.329006700E-1,4.240500331E-1,-1.770000100E0,6.372000217E0
5.529006700E-1,4.240500331E-1,-1.770000100E0,6.372000217E0
5.729006700E-1,2.434950113E0,-1.560000062E0,5.911950111E0
5.929006700E-1,2.434950113E0,-1.560000062E0,5.911950111E0
6.129006700E-1,2.434950113E0,-1.560000062E0,5.911950111E0
6.329006700E-1,3.334950209E0,-3.073050261E0,8.134050369E0
6.529006700E-1,3.334950209E0,-3.073050261E0,8.134050369E0
6.729006700E-1,5.116050243E0,-4.642950058E0,9.913950920E0
6.929006700E-1,5.116050243E0,-4.642950058E0,9.913950920E0
7.129006700E-1,5.116050243E0,-4.642950058E0,9.913950920E0
7.329006700E-1,5.116050243E0,-4.642950058E0,9.913950920E0
7.529006700E-1,5.116050243E0,-4.642950058E0,9.913950920E0
7.729006700E-1,7.701000214E0,-5.848950386E0,1.209705067E1
7.929006700E-1,7.701000214E0,-5.848950386E0,1.209705067E1
8.129006700E-1,7.701000214E0,-5.848950386E0,1.209705067E1
8.329006700E-1,7.701000214E0,-5.848950386E0,1.209705067E1
8.529006700E-1,7.701000214E0,-5.848950386E0,1.209705067E1
8.729006700E-1,1.177995014E1,-3.550950050E0,7.731000423E0
8.929006700E-1,1.177995014E1,-3.550950050E0,7.731000423E0
9.129006700E-1,1.177995014E1,-3.550950050E0,7.731000423E0
9.329006700E-1,1.177995014E1,-3.550950050E0,7.731000423E0
9.529006700E-1,1.177995014E1,-3.550950050E0,7.731000423E0
9.729006700E-1,7.873050213E0,-1.003950000E0,3.403950214E0
9.929006700E-1,7.873050213E0,-1.003950000E0,3.403950214E0
1.012900670E0,6.685950279E0,-1.195950031E0,3.921000242E0
1.032900670E0,6.685950279E0,-1.195950031E0,3.921000242E0
1.052900670E0,6.685950279E0,-1.195950031E0,3.921000242E0
1.072900670E0,6.685950279E0,-1.195950031E0,3.921000242E0
1.092900670E0,6.685950279E0,-1.195950031E0,3.921000242E0
1.112900670E0,8.601000786E0,-2.287050009E0,2.676000118E0
1.132900670E0,8.601000786E0,-2.287050009E0,2.676000118E0
1.152900670E0,8.601000786E0,-2.287050009E0,2.676000118E0
