"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.079823000E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.679823200E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.679823200E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.679823200E-2,9.162999988E-1,2.300374955E-1,3.629999980E-2
1.167982320E-1,9.162999988E-1,2.300374955E-1,3.629999980E-2
1.367982320E-1,9.162999988E-1,2.300374955E-1,3.629999980E-2
1.567982320E-1,9.162999988E-1,2.300374955E-1,3.629999980E-2
1.767982320E-1,9.162999988E-1,2.300374955E-1,3.629999980E-2
1.967982320E-1,2.997500002E-1,2.605625093E-1,6.627500057E-2
2.167982320E-1,2.997500002E-1,2.605625093E-1,6.627500057E-2
2.367982320E-1,-2.338874936E-1,1.512499992E-2,-8.703749627E-2
2.567982320E-1,-2.338874936E-1,1.512499992E-2,-8.703749627E-2
2.767982320E-1,-2.338874936E-1,1.512499992E-2,-8.703749627E-2
2.967982320E-1,-3.639625013E-1,-1.989624947E-1,-2.154625058E-1
3.167982320E-1,-3.639625013E-1,-1.989624947E-1,-2.154625058E-1
3.367982320E-1,-8.432874680E-1,-6.759499907E-1,-4.155249894E-1
3.567982320E-1,-8.432874680E-1,-6.759499907E-1,-4.155249894E-1
3.767982320E-1,-1.026849985E0,-8.255500197E-1,-3.822500110E-1
3.967982320E-1,-1.026849985E0,-8.255500197E-1,-3.822500110E-1
4.167982320E-1,-1.026849985E0,-8.255500197E-1,-3.822500110E-1
4.367982320E-1,-1.252900004E0,-8.065750003E-1,-2.017125040E-1
4.567982320E-1,-1.252900004E0,-8.065750003E-1,-2.017125040E-1
4.767982320E-1,-1.252900004E0,-8.065750003E-1,-2.017125040E-1
4.967982320E-1,-1.252900004E0,-8.065750003E-1,-2.017125040E-1
5.167982320E-1,-1.252900004E0,-8.065750003E-1,-2.017125040E-1
5.367982320E-1,-8.038250208E-1,-3.834874928E-1,2.062499989E-3
5.567982320E-1,-8.038250208E-1,-3.834874928E-1,2.062499989E-3
5.767982320E-1,-8.273375034E-1,-2.699125111E-1,3.638249934E-1
5.967982320E-1,-8.273375034E-1,-2.699125111E-1,3.638249934E-1
6.167982320E-1,-8.273375034E-1,-2.699125111E-1,3.638249934E-1
6.367982320E-1,-8.273375034E-1,-2.699125111E-1,3.638249934E-1
6.567982320E-1,-8.273375034E-1,-2.699125111E-1,3.638249934E-1
6.767982320E-1,-6.819999814E-1,-9.844999909E-1,9.605749846E-1
6.967982320E-1,-6.819999814E-1,-9.844999909E-1,9.605749846E-1
7.167982320E-1,-8.956750035E-1,-1.790662527E0,1.369087458E0
7.367982320E-1,-8.956750035E-1,-1.790662527E0,1.369087458E0
7.567982320E-1,-8.956750035E-1,-1.790662527E0,1.369087458E0
7.767982320E-1,-7.528125048E-1,-2.498650074E0,1.610674977E0
7.967982320E-1,-7.528125048E-1,-2.498650074E0,1.610674977E0
8.167982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
8.367982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
8.567982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
8.767982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
8.967982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
9.167982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
9.367982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
9.567982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
9.767982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
9.967982320E-1,-1.594999991E-2,-2.408999920E0,2.102375031E0
1.016798232E0,1.924175024E0,-2.654987574E0,1.733049989E0
1.036798232E0,1.924175024E0,-2.654987574E0,1.733049989E0
1.056798232E0,2.307937384E0,-2.664750099E0,1.380774975E0
1.076798232E0,2.307937384E0,-2.664750099E0,1.380774975E0
1.096798232E0,2.307937384E0,-2.664750099E0,1.380774975E0
1.116798232E0,2.212650061E0,-2.567125082E0,1.131487489E0
1.136798232E0,2.212650061E0,-2.567125082E0,1.131487489E0
1.156798232E0,1.904512525E0,-2.460562468E0,9.976999760E-1
1.176798232E0,1.904512525E0,-2.460562468E0,9.976999760E-1
1.196798232E0,1.904512525E0,-2.460562468E0,9.976999760E-1
1.216798232E0,1.904512525E0,-2.460562468E0,9.976999760E-1
1.236798232E0,1.904512525E0,-2.460562468E0,9.976999760E-1
1.256798232E0,7.708249688E-1,-1.375825047E0,1.511399984E0
1.276798232E0,7.708249688E-1,-1.375825047E0,1.511399984E0
1.296798232E0,7.708249688E-1,-1.375825047E0,1.511399984E0
1.316798232E0,7.708249688E-1,-1.375825047E0,1.511399984E0
1.336798232E0,7.708249688E-1,-1.375825047E0,1.511399984E0
1.356798232E0,-1.912624985E-1,-1.392325044E0,1.628824949E0
1.376798232E0,-1.912624985E-1,-1.392325044E0,1.628824949E0
1.396798232E0,1.152250022E-1,-1.225674987E0,1.331687450E0
1.416798232E0,1.152250022E-1,-1.225674987E0,1.331687450E0
1.436798232E0,1.152250022E-1,-1.225674987E0,1.331687450E0
1.456798232E0,1.152250022E-1,-1.225674987E0,1.331687450E0
1.476798232E0,1.152250022E-1,-1.225674987E0,1.331687450E0
1.496798232E0,5.321250111E-2,-1.286037445E0,1.066587448E0
