Time (s),ax,ay,az,gx,gy,gz
5.01290067,6.24600029,-21.0150013,-38.16795349,-0.8850874901,-0.2263250053,-0.01306249946
5.03290067,6.24600029,-21.0150013,-38.16795349,-0.8850874901,-0.2263250053,-0.01306249946
5.05290067,6.24600029,-21.0150013,-38.16795349,-0.8850874901,-0.2263250053,-0.01306249946
5.07290067,6.24600029,-21.0150013,-38.16795349,-0.8850874901,-0.2263250053,-0.01306249946
5.09290067,6.24600029,-21.0150013,-38.16795349,-0.8850874901,-0.2263250053,-0.01306249946
5.11290067,11.3010006,1.636950135,-10.4779501,-0.06737499684,-1.110450029,0.2444749922
5.13290067,11.3010006,1.636950135,-10.4779501,-0.06737499684,-1.110450029,0.2444749922
5.15290067,11.10900021,2.287950039,-4.600050449,0.5803874731,-2.309587479,-0.4346374869
5.17290067,11.10900021,2.287950039,-4.600050449,0.5803874731,-2.309587479,-0.4346374869
5.19290067,11.10900021,2.287950039,-4.600050449,0.5803874731,-2.309587479,-0.4346374869
5.21290067,7.854000568,-7.707000256,1.105949998,0.5803874731,-2.309587479,-0.4346374869
5.23290067,7.854000568,-7.707000256,1.105949998,0.5803874731,-2.309587479,-0.4346374869
5.25290067,1.591950059,-39.07305145,6.027000427,0.628099978,-5.591024876,-2.81159997
5.27290067,1.591950059,-39.07305145,6.027000427,0.628099978,-5.591024876,-2.81159997
5.29290067,1.591950059,-39.07305145,6.027000427,-1.322474957,-2.310687542,-1.125162482
5.31290067,1.591950059,-39.07305145,6.027000427,-1.322474957,-2.310687542,-1.125162482
5.33290067,1.591950059,-39.07305145,6.027000427,-1.322474957,-2.310687542,-1.125162482
5.35290067,-0.3409500122,-3.895950079,2.082000017,-8.224012375,0.2684000134,-0.906262517
5.37290067,-0.3409500122,-3.895950079,2.082000017,-8.224012375,0.2684000134,-0.906262517
5.39290067,-0.724050045,1.407000065,4.264950275,-6.805562496,5.809925079,1.487475038
5.41290067,-0.724050045,1.407000065,4.264950275,-6.805562496,5.809925079,1.487475038
5.43290067,-0.724050045,1.407000065,4.264950275,-6.805562496,5.809925079,1.487475038
5.45290067,3.258000135,2.001000166,2.370000124,-6.805562496,5.809925079,1.487475038
5.47290067,3.258000135,2.001000166,2.370000124,-6.805562496,5.809925079,1.487475038
5.49290067,0.7690500617,-1.962000132,-0.1759500057,-3.715662479,3.666574955,2.520925045
5.51290067,0.7690500617,-1.962000132,-0.1759500057,-3.715662479,3.666574955,2.520925045
5.53290067,0.7690500617,-1.962000132,-0.1759500057,-9.216487885,6.592162609,10.78563786
5.55290067,0.7690500617,-1.962000132,-0.1759500057,-9.216487885,6.592162609,10.78563786
5.57290067,0.7690500617,-1.962000132,-0.1759500057,-9.216487885,6.592162609,10.78563786
5.59290067,-15.20100117,-36.25800323,6.601950169,5.694012642,-7.581062317,2.182399988
5.61290067,-15.20100117,-36.25800323,6.601950169,5.694012642,-7.581062317,2.182399988
5.63290067,-15.20100117,-36.25800323,6.601950169,3.069824934,-4.792699814,0.05362499878
5.65290067,-15.20100117,-36.25800323,6.601950169,3.069824934,-4.792699814,0.05362499878
5.67290067,-15.20100117,-36.25800323,6.601950169,3.069824934,-4.792699814,0.05362499878
5.69290067,1.687950134,-12.11100101,7.060950279,-1.591699958,-0.1057374999,-1.988937497
5.71290067,1.687950134,-12.11100101,7.060950279,-1.591699958,-0.1057374999,-1.988937497
5.73290067,6.322050095,1.599000096,7.501950264,-0.3757874966,-0.524012506,-1.526112437
5.75290067,6.322050095,1.599000096,7.501950264,-0.3757874966,-0.524012506,-1.526112437
5.77290067,6.322050095,1.599000096,7.501950264,-0.3757874966,-0.524012506,-1.526112437
5.79290067,10.93695068,5.56305027,-19.45905113,-0.3757874966,-0.524012506,-1.526112437
5.81290067,10.93695068,5.56305027,-19.45905113,-0.3757874966,-0.524012506,-1.526112437
5.83290067,11.35800076,-0.9090000391,-4.044000149,1.02176249,-11.38362503,-8.148937225
5.85290067,11.35800076,-0.9090000391,-4.044000149,1.02176249,-11.38362503,-8.148937225
5.87290067,11.35800076,-0.9090000391,-4.044000149,4.490337372,-12.05214977,-10.20800018
5.89290067,11.35800076,-0.9090000391,-4.044000149,4.490337372,-12.05214977,-10.20800018
5.91290067,11.35800076,-0.9090000391,-4.044000149,4.490337372,-12.05214977,-10.20800018
5.93290067,11.35800076,-0.9090000391,-4.044000149,1.750237465,-1.312987447,-1.361799955
5.95290067,11.35800076,-0.9090000391,-4.044000149,1.750237465,-1.312987447,-1.361799955
5.97290067,11.35800076,-0.9090000391,-4.044000149,-0.2452999949,4.094887257,1.788324952
5.99290067,11.35800076,-0.9090000391,-4.044000149,-0.2452999949,4.094887257,1.788324952
6.01290067,11.35800076,-0.9090000391,-4.044000149,-0.2452999949,4.094887257,1.788324952
6.03290067,0.3090000153,-1.138050079,0.7039500475,-0.2452999949,4.094887257,1.788324952
6.05290067,0.3090000153,-1.138050079,0.7039500475,-0.2452999949,4.094887257,1.788324952
6.07290067,2.109000206,1.924050093,-1.497000098,-1.901350021,7.252987385,2.898087502
6.09290067,2.109000206,1.924050093,-1.497000098,-1.901350021,7.252987385,2.898087502
6.11290067,2.109000206,1.924050093,-1.497000098,-1.901350021,7.252987385,2.898087502
6.13290067,2.109000206,1.924050093,-1.497000098,-1.901350021,7.252987385,2.898087502
6.15290067,2.109000206,1.924050093,-1.497000098,-1.901350021,7.252987385,2.898087502
6.17290067,1.611000061,-2.824050188,1.240050077,1.515112519,1.358912468,0.2512125075
6.19290067,1.611000061,-2.824050188,1.240050077,1.515112519,1.358912468,0.2512125075
6.21290067,-22.70700073,-33.84495163,-3.853050232,10.36323738,-20.06262398,-9.66432476
6.23290067,-22.70700073,-33.84495163,-3.853050232,10.36323738,-20.06262398,-9.66432476
6.25290067,-22.70700073,-33.84495163,-3.853050232,10.36323738,-20.06262398,-9.66432476
6.27290067,-10.75800037,-28.4640007,2.848050117,10.36323738,-20.06262398,-9.66432476
6.29290067,-10.75800037,-28.4640007,2.848050117,10.36323738,-20.06262398,-9.66432476
6.31290067,-3.826050282,-2.88105011,-9.061050415,1.597474933,1.924312472,3.019087553
6.33290067,-3.826050282,-2.88105011,-9.061050415,1.597474933,1.924312472,3.019087553
6.35290067,-3.826050282,-2.88105011,-9.061050415,1.597474933,1.924312472,3.019087553
6.37290067,-3.826050282,-2.88105011,-9.061050415,1.597474933,1.924312472,3.019087553
6.39290067,-3.826050282,-2.88105011,-9.061050415,1.597474933,1.924312472,3.019087553
6.41290067,1.744950056,-8.548950195,1.068000078,0.2495625019,1.801800013,1.891037464
6.43290067,1.744950056,-8.548950195,1.068000078,0.2495625019,1.801800013,1.891037464
