"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.303786400E-2,-1.585050106E0,2.863050222E0,9.301950455E0
5.303786400E-2,-1.279050112E0,2.881950140E0,8.707950592E0
7.303786400E-2,-2.064000130E0,2.269050121E0,8.803950310E0
9.303786400E-2,-2.695950031E0,2.920050144E0,6.927000523E0
1.130378640E-1,-1.279050112E0,1.885950089E0,8.536050797E0
1.330378640E-1,2.205000073E-2,1.254000068E0,1.029705048E1
1.530378640E-1,1.114050031E0,1.350000024E0,1.022100067E1
1.730378640E-1,9.990000725E-1,2.020050049E0,1.006800079E1
1.930378640E-1,6.160500050E-1,1.789950132E0,9.856950760E0
2.130378640E-1,1.152000070E0,-8.700000644E-1,1.012500095E1
2.330378640E-1,1.918050051E0,-1.252950072E0,9.934050560E0
2.530378640E-1,2.710500062E-1,7.750500441E-1,8.899950027E0
2.730378640E-1,1.516050100E0,-1.240500063E-1,8.707950592E0
2.930378640E-1,1.993950129E0,-8.505000174E-2,8.574000359E0
3.130378640E-1,2.358000040E0,4.500000179E-1,7.807950497E0
3.330378640E-1,1.993950129E0,4.120500088E-1,6.717000484E0
3.530378640E-1,1.075049996E0,5.070000291E-1,6.525000095E0
3.730378640E-1,7.110000253E-1,-4.680000246E-1,7.291050434E0
3.930378640E-1,2.185950041E0,-8.509500623E-1,7.789050579E0
4.130378640E-1,2.779950142E0,-6.790500283E-1,7.636050224E0
4.330378640E-1,2.434950113E0,-1.195950031E0,9.244050026E0
4.530378640E-1,2.607000113E0,-1.177050114E0,9.607950211E0
4.730378640E-1,2.722050190E0,-7.560000420E-1,9.531000137E0
4.930378640E-1,2.358000040E0,-7.360500097E-1,9.244050026E0
5.130378640E-1,2.626050234E0,-7.170000076E-1,8.938050270E0
5.330378640E-1,2.818050146E0,-8.509500623E-1,8.822999954E0
5.530378640E-1,3.181950092E0,-6.979500055E-1,9.493050575E0
5.730378640E-1,3.909000158E0,-3.150000274E-1,9.666000366E0
5.930378640E-1,4.330950260E0,-4.870500267E-1,9.760950089E0
6.130378640E-1,3.985950232E0,-9.469500184E-1,9.666000366E0
6.330378640E-1,3.220050097E0,-1.311000109E0,1.056600094E1
6.530378640E-1,3.736950159E0,-1.330050111E0,1.119705009E1
6.730378640E-1,4.656000137E0,-1.158000112E0,1.125495052E1
6.930378640E-1,4.330950260E0,-8.130000234E-1,1.073805046E1
7.130378640E-1,4.291950226E0,-1.138050079E0,1.025895023E1
7.330378640E-1,5.383950233E0,-1.750950098E0,1.047000027E1
7.530378640E-1,6.226050377E0,-1.750950098E0,1.108305073E1
7.730378640E-1,6.609000206E0,-1.675050020E0,1.052700043E1
7.930378640E-1,6.820050240E0,-1.501950026E0,9.589050293E0
8.130378640E-1,6.532950401E0,-1.521000028E0,8.956950188E0
8.330378640E-1,7.299000263E0,-1.444950104E0,9.262950897E0
8.530378640E-1,8.734950066E0,-2.211000204E0,9.473999977E0
8.730378640E-1,9.252000809E0,-2.173050165E0,8.421000481E0
8.930378640E-1,9.807000160E0,-1.789950132E0,7.770000458E0
9.130378640E-1,9.922050476E0,-1.215000033E0,7.023000240E0
9.330378640E-1,9.654000282E0,-1.195950031E0,7.003950119E0
9.530378640E-1,9.385950089E0,-1.426050067E0,6.907950401E0
9.730378640E-1,9.098999977E0,-1.081050038E0,6.736050129E0
9.930378640E-1,8.256000519E0,-9.280500412E-1,6.774000168E0
1.013037864E0,7.834950447E0,-1.501950026E0,7.885050297E0
1.033037864E0,7.509000301E0,-1.846950054E0,7.960950375E0
1.053037864E0,6.493950367E0,-1.636050105E0,6.621000290E0
1.073037864E0,6.705000401E0,-1.903950095E0,6.640050411E0
1.093037864E0,7.528050423E0,-2.421000004E0,6.754950523E0
1.113037864E0,7.816050529E0,-2.077050209E0,6.103950500E0
1.133037864E0,8.160000801E0,-1.962000132E0,5.089050293E0
1.153037864E0,9.003000259E0,-2.173050165E0,4.303950310E0
1.173037864E0,1.170300102E1,-1.846950054E0,3.978000164E0
1.193037864E0,1.195200062E1,-1.234050035E0,3.825000286E0
1.213037864E0,1.074600029E1,-1.177050114E0,3.058950186E0
1.233037864E0,1.034295082E1,-1.291950107E0,1.125000000E0
1.253037864E0,9.769050598E0,-8.509500623E-1,1.948050141E0
1.273037864E0,6.763050556E0,-3.150000274E-1,2.044049978E0
1.293037864E0,5.556000233E0,-3.919500113E-1,2.331000090E0
1.313037864E0,6.609000206E0,1.819500029E-1,3.021000147E0
1.333037864E0,8.293950081E0,9.289500713E-1,2.791050196E0
1.353037864E0,8.524050713E0,1.177950025E0,1.891050100E0
