"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.303786400E-2,1.033999994E-1,8.652874827E-1,3.355000168E-2
5.303786400E-2,-3.382499889E-2,-2.800875008E-1,1.757249981E-1
7.303786400E-2,-1.236125007E-1,-3.436124921E-1,1.281500012E-1
9.303786400E-2,-1.337874979E-1,-2.508000135E-1,7.012499869E-2
1.130378640E-1,-7.782500237E-2,-3.437499981E-3,7.975000143E-2
1.330378640E-1,-2.751374841E-1,-6.366249919E-2,-9.308750182E-2
1.530378640E-1,-3.570874929E-1,-2.343000025E-1,-7.755000144E-2
1.730378640E-1,-4.709374905E-1,-5.511000156E-1,4.757500067E-2
1.930378640E-1,-4.485250115E-1,-7.133499980E-1,3.392125070E-1
2.130378640E-1,-4.465999901E-1,-7.416750193E-1,3.825249970E-1
2.330378640E-1,-5.185124874E-1,-7.973625064E-1,2.785750031E-1
2.530378640E-1,-6.843374968E-1,-8.375124931E-1,-1.534499973E-1
2.730378640E-1,-7.290250063E-1,-8.566250205E-1,-2.557500005E-1
2.930378640E-1,-8.545625210E-1,-9.560375214E-1,-4.661250114E-1
3.130378640E-1,-8.604750037E-1,-1.151562452E0,-4.021874964E-1
3.330378640E-1,-8.546999693E-1,-1.261425018E0,-3.491125107E-1
3.530378640E-1,-8.570374846E-1,-1.413499951E0,-3.240875006E-1
3.730378640E-1,-8.084999919E-1,-1.262387514E0,-4.016374946E-1
3.930378640E-1,-8.060249686E-1,-1.196524978E0,-4.545750022E-1
4.130378640E-1,-8.663874865E-1,-1.106737494E0,-6.312624812E-1
4.330378640E-1,-1.081987500E0,-1.017225027E0,-9.715750217E-1
4.530378640E-1,-1.136849999E0,-9.985250235E-1,-1.037437439E0
4.730378640E-1,-1.038812518E0,-1.000174999E0,-9.301875234E-1
4.930378640E-1,-8.188124895E-1,-9.791374803E-1,-6.941000223E-1
5.130378640E-1,-7.880125046E-1,-9.644249678E-1,-6.540874839E-1
5.330378640E-1,-7.136250138E-1,-8.857749701E-1,-5.636125207E-1
5.530378640E-1,-6.892874837E-1,-7.154124975E-1,-4.852375090E-1
5.730378640E-1,-6.687999964E-1,-6.627500057E-1,-4.485250115E-1
5.930378640E-1,-5.927624702E-1,-5.956500173E-1,-3.420999944E-1
6.130378640E-1,-4.358749986E-1,-6.613749862E-1,-1.185249984E-1
6.330378640E-1,-3.777124882E-1,-7.075750232E-1,-3.327500075E-2
6.530378640E-1,-2.591874897E-1,-6.733375192E-1,1.440999955E-1
6.730378640E-1,-1.287000030E-1,-5.842375159E-1,3.569499850E-1
6.930378640E-1,-8.511249721E-2,-5.836874843E-1,4.203374982E-1
7.130378640E-1,1.099999994E-3,-5.798375010E-1,5.403749943E-1
7.330378640E-1,9.116250277E-2,-6.386874914E-1,6.930000186E-1
7.530378640E-1,1.111000031E-1,-6.884624958E-1,7.385125160E-1
7.730378640E-1,1.399749964E-1,-7.768750191E-1,8.218374848E-1
7.930378640E-1,1.703625023E-1,-8.967750072E-1,9.524624944E-1
8.130378640E-1,1.768250018E-1,-9.310125113E-1,9.948124886E-1
8.330378640E-1,1.802625060E-1,-9.570000172E-1,1.066174984E0
8.530378640E-1,2.344374955E-1,-1.053799987E0,1.189924955E0
8.730378640E-1,2.697750032E-1,-1.129837513E0,1.243549943E0
8.930378640E-1,3.668499887E-1,-1.373212457E0,1.376924992E0
9.130378640E-1,6.315374970E-1,-1.750237465E0,1.654399991E0
9.330378640E-1,7.499250174E-1,-1.842224956E0,1.761649966E0
9.530378640E-1,9.922000170E-1,-1.987424970E0,1.969274998E0
9.730378640E-1,1.354237437E0,-2.086562395E0,2.198899984E0
9.930378640E-1,1.474962473E0,-2.094675064E0,2.250600100E0
1.013037864E0,1.665262461E0,-2.070749998E0,2.310412407E0
1.033037864E0,1.758900046E0,-1.854462504E0,2.243037462E0
1.053037864E0,1.757524967E0,-1.757249951E0,2.192437410E0
1.073037864E0,1.719025016E0,-1.547562480E0,2.036237478E0
1.093037864E0,1.652337432E0,-1.441825032E0,1.907124996E0
1.113037864E0,1.603525043E0,-1.384762526E0,1.828887463E0
1.133037864E0,1.305425048E0,-1.107149959E0,1.505900025E0
1.153037864E0,1.184287548E0,-1.014337540E0,1.391499996E0
1.173037864E0,1.004712462E0,-9.520499706E-1,1.213024974E0
1.193037864E0,8.456249833E-1,-1.050225019E0,1.034962535E0
1.213037864E0,7.932375073E-1,-1.066725016E0,9.725375175E-1
1.233037864E0,7.964000106E-1,-1.241899967E0,9.164375067E-1
1.253037864E0,9.787250161E-1,-1.681349993E0,9.165750146E-1
1.273037864E0,1.043624997E0,-1.789425015E0,8.933374882E-1
1.293037864E0,1.130112529E0,-1.921837449E0,8.100125194E-1
1.313037864E0,1.063424945E0,-1.855562449E0,6.320874691E-1
1.333037864E0,1.088999987E0,-1.822700024E0,5.494499803E-1
1.353037864E0,1.271324992E0,-1.797537446E0,3.283500075E-1
1.373037864E0,1.564062476E0,-1.800287485E0,1.209999993E-2
1.393037864E0,1.649037480E0,-1.815687537E0,-7.108750194E-2
1.413037864E0,1.776912451E0,-1.854599953E0,-2.037750036E-1
1.433037864E0,1.759449959E0,-1.856662512E0,-2.238499969E-1
1.453037864E0,1.650274992E0,-1.777600050E0,-1.931875050E-1
1.473037864E0,1.150737524E0,-1.325912476E0,-1.694000065E-1
1.493037864E0,-5.526124835E-1,2.204124928E-1,1.924999990E-3
1.513037864E0,-5.893250108E-1,2.468124926E-1,-7.974999957E-3
1.533037864E0,-6.612374783E-1,2.046000063E-1,8.112499863E-2
1.553037864E0,-5.704874992E-1,-5.110874772E-1,7.642250061E-1
1.573037864E0,-5.995000005E-1,-5.570124984E-1,8.111125231E-1
1.593037864E0,-7.408499718E-1,-6.308500171E-1,1.006775022E0
1.613037864E0,-1.103299975E0,-4.200625122E-1,1.152524948E0
1.633037864E0,-1.182500005E0,-3.298625052E-1,1.143037438E0
1.653037864E0,-1.244512439E0,-1.827374995E-1,1.074424982E0
1.673037864E0,-1.313812494E0,1.971749961E-1,8.794500232E-1
1.693037864E0,-1.348325014E0,2.943874896E-1,8.831624985E-1
1.713037864E0,-1.219487548E0,-1.016125008E-1,1.171087503E0
1.733037864E0,-2.481874973E-1,-1.715862513E0,1.555400014E0
1.753037864E0,-2.528625131E-1,-1.701012492E0,1.680524945E0
1.773037864E0,-1.303499937E-1,-2.023312569E0,2.123825073E0
1.793037864E0,3.059374988E-1,-2.170574903E0,2.007912397E0
1.813037864E0,3.096500039E-1,-2.005437374E0,1.985499978E0
1.833037864E0,2.799499929E-1,-1.596512437E0,1.887462497E0
1.853037864E0,1.828749925E-1,-1.014337540E0,1.914549947E0
1.873037864E0,2.004749924E-1,-9.444875121E-1,1.926237464E0
1.893037864E0,2.637250125E-1,-9.392625093E-1,1.936962485E0
1.913037864E0,3.455374837E-1,-9.348624945E-1,1.827237487E0
1.933037864E0,3.590124846E-1,-8.824750185E-1,1.760550022E0
1.953037864E0,4.017750025E-1,-8.005250096E-1,1.545637488E0
1.973037864E0,4.489375055E-1,-5.700749755E-1,1.140837550E0
1.993037864E0,4.545750022E-1,-4.456374943E-1,1.007874966E0
2.013037864E0,4.343625009E-1,2.699125111E-1,8.692749739E-1
2.033037864E0,4.003999829E-1,8.849499822E-1,7.950249910E-1
2.053037864E0,3.819749951E-1,7.953000069E-1,7.693125010E-1
2.073037864E0,3.147374988E-1,5.703499913E-1,8.612999916E-1
2.093037864E0,2.813250124E-1,2.404875010E-1,9.663500190E-1
2.113037864E0,2.849000096E-1,7.686249912E-2,9.889000058E-1
2.133037864E0,3.091000021E-1,-7.081250101E-2,1.127912521E0
2.153037864E0,2.892999947E-1,-1.414874941E-1,1.689737439E0
2.173037864E0,2.865499854E-1,-2.486000061E-1,1.831637502E0
2.193037864E0,3.383874893E-1,-5.641624928E-1,2.018087387E0
2.213037864E0,3.638249934E-1,-6.590374708E-1,2.016849995E0
2.233037864E0,4.163500071E-1,-8.597875237E-1,1.910974979E0
2.253037864E0,4.855124950E-1,-9.655249715E-1,1.754637480E0
2.273037864E0,5.273125172E-1,-8.769749999E-1,1.789700031E0
2.293037864E0,6.199874878E-1,-3.536500037E-1,2.576200008E0
2.313037864E0,4.435749948E-1,-4.461874962E-1,3.180375099E0
2.333037864E0,3.726249933E-1,-5.347374678E-1,3.252562523E0
2.353037864E0,2.869625092E-1,-7.303999662E-1,3.025687456E0
2.373037864E0,2.263250053E-1,-9.442124963E-1,2.280575037E0
2.393037864E0,2.257750034E-1,-9.521874785E-1,2.053425074E0
2.413037864E0,2.550624907E-1,-8.934749961E-1,1.672137499E0
2.433037864E0,1.740749925E-1,-8.461750150E-1,1.202437520E0
2.453037864E0,1.355749965E-1,-8.258249760E-1,1.071400046E0
2.473037864E0,7.383749634E-2,-7.720624804E-1,8.833000064E-1
2.493037864E0,2.708750032E-2,-6.610999703E-1,7.997000217E-1
2.513037864E0,3.148749843E-2,-6.114624739E-1,7.426375151E-1
2.533037864E0,4.991250113E-2,-4.822124839E-1,5.950999856E-1
2.553037864E0,1.486375034E-1,-2.491499931E-1,6.352499872E-2
2.573037864E0,1.192125008E-1,-2.481874973E-1,-1.024374962E-1
2.593037864E0,1.031249948E-2,-2.391124964E-1,-2.041874975E-1
2.613037864E0,-3.946249932E-2,-2.873750031E-2,-1.282874942E-1
2.633037864E0,-7.809999585E-2,7.287499961E-3,-1.072499976E-1
2.653037864E0,-1.068374962E-1,9.666249901E-2,2.914999984E-2
2.673037864E0,-2.859999985E-2,3.079999983E-1,2.771999836E-1
2.693037864E0,-9.074999951E-3,3.704249859E-1,3.137750030E-1
2.713037864E0,-1.361249946E-2,4.630999863E-1,3.095124960E-1
2.733037864E0,-1.325500011E-1,5.079249740E-1,2.278375030E-1
