"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.114661100E-2,-7.810500264E-1,1.981950045E0,9.493050575E0
4.578401000E-2,9.900000691E-2,1.809000134E0,1.041195011E1
6.178401200E-2,-1.110000089E-1,1.636950135E0,1.047000027E1
7.782037000E-2,-3.600000143E-1,1.522050023E0,1.016295052E1
8.178401200E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.782037000E-2,-6.660000086E-1,1.312050104E0,9.646050453E0
1.378203700E-1,-6.660000086E-1,1.312050104E0,9.646050453E0
1.578203700E-1,-6.660000086E-1,1.312050104E0,9.646050453E0
1.778203700E-1,-6.660000086E-1,1.312050104E0,9.646050453E0
1.978203700E-1,1.687950134E0,2.779500186E-1,1.047000027E1
2.178203700E-1,1.687950134E0,2.779500186E-1,1.047000027E1
2.378203700E-1,8.839500546E-1,1.240500063E-1,8.554950714E0
2.578203700E-1,8.839500546E-1,1.240500063E-1,8.554950714E0
2.778203700E-1,8.839500546E-1,1.240500063E-1,8.554950714E0
2.978203700E-1,3.775050163E0,4.800000042E-2,1.060395050E1
3.178203700E-1,3.775050163E0,4.800000042E-2,1.060395050E1
3.378203700E-1,3.775050163E0,4.800000042E-2,1.060395050E1
3.578203700E-1,3.775050163E0,4.800000042E-2,1.060395050E1
3.778203700E-1,3.775050163E0,4.800000042E-2,1.060395050E1
3.978203700E-1,2.128050089E0,1.063050032E0,7.789050579E0
4.178203700E-1,2.128050089E0,1.063050032E0,7.789050579E0
4.378203700E-1,1.362000108E0,3.540000021E-1,7.119000435E0
4.578203700E-1,1.362000108E0,3.540000021E-1,7.119000435E0
4.778203700E-1,1.362000108E0,3.540000021E-1,7.119000435E0
4.978203700E-1,1.362000108E0,3.540000021E-1,7.119000435E0
5.178203700E-1,1.362000108E0,3.540000021E-1,7.119000435E0
5.378203700E-1,2.242950201E0,-1.464000106E0,1.138905048E1
5.578203700E-1,2.242950201E0,-1.464000106E0,1.138905048E1
5.778203700E-1,2.242950201E0,-1.464000106E0,1.138905048E1
5.978203700E-1,2.242950201E0,-1.464000106E0,1.138905048E1
6.178203700E-1,2.242950201E0,-1.464000106E0,1.138905048E1
6.378203700E-1,1.248000026E0,-1.429500133E-1,9.436050415E0
6.578203700E-1,1.248000026E0,-1.429500133E-1,9.436050415E0
6.778203700E-1,1.669050097E0,-2.380500138E-1,8.746050835E0
6.978203700E-1,1.669050097E0,-2.380500138E-1,8.746050835E0
7.178203700E-1,1.669050097E0,-2.380500138E-1,8.746050835E0
7.378203700E-1,1.669050097E0,-2.380500138E-1,8.746050835E0
7.578203700E-1,1.669050097E0,-2.380500138E-1,8.746050835E0
7.778203700E-1,3.622050285E0,-1.750950098E0,7.750950336E0
7.978203700E-1,3.622050285E0,-1.750950098E0,7.750950336E0
8.178203700E-1,4.369050026E0,-2.230050087E0,7.980000496E0
8.378203700E-1,4.369050026E0,-2.230050087E0,7.980000496E0
8.578203700E-1,4.369050026E0,-2.230050087E0,7.980000496E0
8.778203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
8.978203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
9.178203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
9.378203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
9.578203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
9.778203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
9.978203700E-1,7.356000423E0,-2.824050188E0,9.244050026E0
1.017820370E0,7.318050385E0,-2.364000082E0,1.110195065E1
1.037820370E0,7.318050385E0,-2.364000082E0,1.110195065E1
1.057820370E0,7.318050385E0,-2.364000082E0,1.110195065E1
1.077820370E0,7.318050385E0,-2.364000082E0,1.110195065E1
1.097820370E0,7.318050385E0,-2.364000082E0,1.110195065E1
1.117820370E0,3.450000048E0,-2.938950062E0,8.956950188E0
1.137820370E0,3.450000048E0,-2.938950062E0,8.956950188E0
1.157820370E0,3.450000048E0,-2.938950062E0,8.956950188E0
1.177820370E0,3.450000048E0,-2.938950062E0,8.956950188E0
1.197820370E0,3.450000048E0,-2.938950062E0,8.956950188E0
1.217820370E0,2.377050161E0,-3.283050060E0,8.611950874E0
1.237820370E0,2.377050161E0,-3.283050060E0,8.611950874E0
1.257820370E0,2.893950224E0,-2.728050232E0,8.325000763E0
1.277820370E0,2.893950224E0,-2.728050232E0,8.325000763E0
1.297820370E0,2.893950224E0,-2.728050232E0,8.325000763E0
1.317820370E0,2.893950224E0,-2.728050232E0,8.325000763E0
1.337820370E0,2.893950224E0,-2.728050232E0,8.325000763E0
1.357820370E0,3.852000237E0,-3.111000061E0,8.938050270E0
1.377820370E0,3.852000237E0,-3.111000061E0,8.938050270E0
1.397820370E0,3.852000237E0,-3.111000061E0,8.938050270E0
1.417820370E0,3.852000237E0,-3.111000061E0,8.938050270E0
1.437820370E0,3.852000237E0,-3.111000061E0,8.938050270E0
1.457820370E0,3.832950115E0,-3.436050177E0,8.554950714E0
1.477820370E0,3.832950115E0,-3.436050177E0,8.554950714E0
1.497820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.517820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.537820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.557820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.577820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.597820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.617820370E0,4.273050308E0,-3.493950129E0,8.305950165E0
1.637820370E0,4.924050331E0,-3.724050283E0,8.421000481E0
1.657820370E0,4.924050331E0,-3.724050283E0,8.421000481E0
1.677820370E0,4.924050331E0,-3.724050283E0,8.421000481E0
1.697820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.717820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.737820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.757820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.777820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.797820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.817820370E0,5.307000160E0,-3.570000172E0,8.362950325E0
1.837820370E0,4.522050381E0,-4.528050423E0,8.401950836E0
1.857820370E0,4.522050381E0,-4.528050423E0,8.401950836E0
1.877820370E0,4.522050381E0,-4.528050423E0,8.401950836E0
1.897820370E0,4.522050381E0,-4.528050423E0,8.401950836E0
1.917820370E0,4.522050381E0,-4.528050423E0,8.401950836E0
1.937820370E0,6.207000256E0,-4.891950130E0,6.409950256E0
1.957820370E0,6.207000256E0,-4.891950130E0,6.409950256E0
1.977820370E0,6.207000256E0,-4.891950130E0,6.409950256E0
1.997820370E0,6.207000256E0,-4.891950130E0,6.409950256E0
2.017820370E0,6.207000256E0,-4.891950130E0,6.409950256E0
2.037820370E0,9.691950798E0,-5.658000469E0,4.668000221E0
2.057820370E0,9.691950798E0,-5.658000469E0,4.668000221E0
2.077820370E0,6.685950279E0,-5.350950241E0,5.413950443E0
2.097820370E0,6.685950279E0,-5.350950241E0,5.413950443E0
2.117820370E0,6.685950279E0,-5.350950241E0,5.413950443E0
2.137820370E0,6.685950279E0,-5.350950241E0,5.413950443E0
2.157820370E0,6.685950279E0,-5.350950241E0,5.413950443E0
2.177820370E0,7.030950546E0,-6.652950287E0,3.097050190E0
2.197820370E0,7.030950546E0,-6.652950287E0,3.097050190E0
2.217820370E0,7.030950546E0,-6.652950287E0,3.097050190E0
2.237820370E0,7.030950546E0,-6.652950287E0,3.097050190E0
2.257820370E0,7.030950546E0,-6.652950287E0,3.097050190E0
2.277820370E0,1.026705074E1,-5.695950508E0,5.089050293E0
2.297820370E0,1.026705074E1,-5.695950508E0,5.089050293E0
2.317820370E0,5.958000183E0,-5.122050285E0,2.370000124E0
2.337820370E0,5.958000183E0,-5.122050285E0,2.370000124E0
2.357820370E0,5.958000183E0,-5.122050285E0,2.370000124E0
2.377820370E0,5.958000183E0,-5.122050285E0,2.370000124E0
2.397820370E0,5.958000183E0,-5.122050285E0,2.370000124E0
2.417820370E0,5.881950378E0,-4.260000229E0,2.809950113E0
2.437820370E0,5.881950378E0,-4.260000229E0,2.809950113E0
