"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.114661100E-2,2.337499987E-3,3.849999979E-3,1.484999992E-2
4.578401000E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.178401200E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.782037000E-2,-2.556124926E-1,-2.883374989E-1,3.911874890E-1
9.782037000E-2,-2.556124926E-1,-2.883374989E-1,3.911874890E-1
1.178203700E-1,-2.556124926E-1,-2.883374989E-1,3.911874890E-1
1.378203700E-1,-2.556124926E-1,-2.883374989E-1,3.911874890E-1
1.578203700E-1,-2.556124926E-1,-2.883374989E-1,3.911874890E-1
1.778203700E-1,-2.556124926E-1,-2.883374989E-1,3.911874890E-1
1.978203700E-1,-3.430624902E-1,-4.269374907E-1,-3.987500072E-2
2.178203700E-1,-3.430624902E-1,-4.269374907E-1,-3.987500072E-2
2.378203700E-1,-4.439874887E-1,-5.832750201E-1,7.974999957E-3
2.578203700E-1,-4.439874887E-1,-5.832750201E-1,7.974999957E-3
2.778203700E-1,-4.439874887E-1,-5.832750201E-1,7.974999957E-3
2.978203700E-1,-4.679124951E-1,-5.031124949E-1,-3.580499887E-1
3.178203700E-1,-4.679124951E-1,-5.031124949E-1,-3.580499887E-1
3.378203700E-1,-4.679124951E-1,-5.031124949E-1,-3.580499887E-1
3.578203700E-1,-4.679124951E-1,-5.031124949E-1,-3.580499887E-1
3.778203700E-1,-4.679124951E-1,-5.031124949E-1,-3.580499887E-1
3.978203700E-1,-5.079249740E-1,-9.831249714E-1,-6.082999706E-1
4.178203700E-1,-5.079249740E-1,-9.831249714E-1,-6.082999706E-1
4.378203700E-1,-3.889875114E-1,-8.276125193E-1,-8.215624690E-1
4.578203700E-1,-3.889875114E-1,-8.276125193E-1,-8.215624690E-1
4.778203700E-1,-3.889875114E-1,-8.276125193E-1,-8.215624690E-1
4.978203700E-1,-3.889875114E-1,-8.276125193E-1,-8.215624690E-1
5.178203700E-1,-3.889875114E-1,-8.276125193E-1,-8.215624690E-1
5.378203700E-1,-1.689874977E-1,-6.388249993E-1,-4.350500107E-1
5.578203700E-1,-1.689874977E-1,-6.388249993E-1,-4.350500107E-1
5.778203700E-1,-1.689874977E-1,-6.388249993E-1,-4.350500107E-1
5.978203700E-1,-1.689874977E-1,-6.388249993E-1,-4.350500107E-1
6.178203700E-1,-1.689874977E-1,-6.388249993E-1,-4.350500107E-1
6.378203700E-1,-2.802250087E-1,-1.153625026E-1,1.161874980E-1
6.578203700E-1,-2.802250087E-1,-1.153625026E-1,1.161874980E-1
6.778203700E-1,-2.902624905E-1,2.186249942E-2,4.113999903E-1
6.978203700E-1,-2.902624905E-1,2.186249942E-2,4.113999903E-1
7.178203700E-1,-2.902624905E-1,2.186249942E-2,4.113999903E-1
7.378203700E-1,-2.902624905E-1,2.186249942E-2,4.113999903E-1
7.578203700E-1,-2.902624905E-1,2.186249942E-2,4.113999903E-1
7.778203700E-1,-1.989624947E-1,3.280749917E-1,5.235999823E-1
7.978203700E-1,-1.989624947E-1,3.280749917E-1,5.235999823E-1
8.178203700E-1,-9.927500039E-2,7.149999961E-3,8.452125192E-1
8.378203700E-1,-9.927500039E-2,7.149999961E-3,8.452125192E-1
8.578203700E-1,-9.927500039E-2,7.149999961E-3,8.452125192E-1
8.778203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
8.978203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
9.178203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
9.378203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
9.578203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
9.778203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
9.978203700E-1,-2.158749998E-1,-7.063375115E-1,1.709537506E0
1.017820370E0,3.063499928E-1,-2.203987598E0,1.615762472E0
1.037820370E0,3.063499928E-1,-2.203987598E0,1.615762472E0
1.057820370E0,3.063499928E-1,-2.203987598E0,1.615762472E0
1.077820370E0,3.063499928E-1,-2.203987598E0,1.615762472E0
1.097820370E0,3.063499928E-1,-2.203987598E0,1.615762472E0
1.117820370E0,1.754499972E-1,-7.759125233E-1,7.856749892E-1
1.137820370E0,1.754499972E-1,-7.759125233E-1,7.856749892E-1
1.157820370E0,1.754499972E-1,-7.759125233E-1,7.856749892E-1
1.177820370E0,1.754499972E-1,-7.759125233E-1,7.856749892E-1
1.197820370E0,1.754499972E-1,-7.759125233E-1,7.856749892E-1
1.217820370E0,-8.786249906E-2,8.555250168E-1,5.417500138E-1
1.237820370E0,-8.786249906E-2,8.555250168E-1,5.417500138E-1
1.257820370E0,-1.874125004E-1,1.223199964E0,4.996750057E-1
