"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.545012200E-2,-1.546950102E0,1.695000052E0,9.799950600E0
5.145012400E-2,-1.356000066E0,1.771050096E0,9.913950920E0
7.145012400E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.145012400E-2,-1.144950032E0,1.540950060E0,9.723000526E0
1.114501240E-1,-1.297950029E0,1.522050023E0,9.511950493E0
1.314501240E-1,-1.297950029E0,1.522050023E0,9.511950493E0
1.514501240E-1,-1.183050036E0,1.273050070E0,9.283050537E0
1.714501240E-1,-1.183050036E0,1.273050070E0,9.283050537E0
1.914501240E-1,-6.469500065E-1,1.234950066E0,9.819000244E0
2.114501240E-1,2.205000073E-2,1.234950066E0,9.723000526E0
2.314501240E-1,2.205000073E-2,1.234950066E0,9.723000526E0
2.514501240E-1,1.055999994E0,9.859500527E-1,9.934050560E0
2.714501240E-1,1.055999994E0,9.859500527E-1,9.934050560E0
2.914501240E-1,1.055999994E0,9.859500527E-1,9.934050560E0
3.114501240E-1,1.055999994E0,9.859500527E-1,9.934050560E0
3.314501240E-1,1.055999994E0,9.859500527E-1,9.934050560E0
3.514501240E-1,1.879950047E0,4.309500158E-1,9.205950737E0
3.714501240E-1,1.879950047E0,4.309500158E-1,9.205950737E0
3.914501240E-1,2.377050161E0,1.440000087E-1,9.493050575E0
4.114501240E-1,2.377050161E0,1.440000087E-1,9.493050575E0
4.314501240E-1,2.683950186E0,-3.730500042E-1,9.685050011E0
4.514501240E-1,2.760000229E0,-5.070000291E-1,8.938050270E0
4.714501240E-1,2.760000229E0,-5.070000291E-1,8.938050270E0
4.914501240E-1,3.124050140E0,-5.449500084E-1,7.923000336E0
5.114501240E-1,3.124050140E0,-5.449500084E-1,7.923000336E0
5.314501240E-1,4.618050098E0,4.690500200E-1,7.234050274E0
5.514501240E-1,4.618050098E0,4.690500200E-1,7.234050274E0
5.714501240E-1,4.963050365E0,-7.560000420E-1,6.505950451E0
5.914501240E-1,4.599000454E0,-8.320500255E-1,6.295050144E0
6.114501240E-1,4.599000454E0,-8.320500255E-1,6.295050144E0
6.314501240E-1,3.985950232E0,-1.138050079E0,6.562950134E0
6.514501240E-1,3.985950232E0,-1.138050079E0,6.562950134E0
6.714501240E-1,3.985950232E0,-1.138050079E0,6.562950134E0
6.914501240E-1,5.307000160E0,-1.962000132E0,6.678000450E0
7.114501240E-1,5.307000160E0,-1.962000132E0,6.678000450E0
7.314501240E-1,6.552000523E0,-3.609000206E0,6.964950562E0
7.514501240E-1,6.552000523E0,-3.609000206E0,6.964950562E0
7.714501240E-1,6.552000523E0,-3.609000206E0,6.964950562E0
7.914501240E-1,6.552000523E0,-3.609000206E0,6.964950562E0
8.114501240E-1,6.552000523E0,-3.609000206E0,6.964950562E0
8.314501240E-1,8.006999969E0,-6.117000103E0,5.452950478E0
8.514501240E-1,8.006999969E0,-6.117000103E0,5.452950478E0
8.714501240E-1,1.107105064E1,-8.128050804E0,4.111950397E0
8.914501240E-1,1.107105064E1,-8.128050804E0,4.111950397E0
9.114501240E-1,1.170300102E1,-6.691950321E0,4.399050236E0
9.314501240E-1,1.256505013E1,-7.093950272E0,4.687050343E0
9.514501240E-1,1.256505013E1,-7.093950272E0,4.687050343E0
9.714501240E-1,1.298595047E1,-5.256000042E0,4.017000198E0
9.914501240E-1,1.298595047E1,-5.256000042E0,4.017000198E0
1.011450124E0,1.298595047E1,-5.256000042E0,4.017000198E0
1.031450124E0,1.298595047E1,-5.256000042E0,4.017000198E0
1.051450124E0,1.298595047E1,-5.256000042E0,4.017000198E0
1.071450124E0,8.332950592E0,-2.919000149E0,-3.412050247E0
1.091450124E0,8.332950592E0,-2.919000149E0,-3.412050247E0
1.111450124E0,9.175050735E0,-3.340950251E0,4.093050003E0
1.131450124E0,9.175050735E0,-3.340950251E0,4.093050003E0
1.151450124E0,9.175050735E0,-3.340950251E0,4.093050003E0
1.171450124E0,7.299000263E0,-2.460000038E0,1.585050106E0
1.191450124E0,7.299000263E0,-2.460000038E0,1.585050106E0
1.211450124E0,5.499000072E0,-3.340950251E0,2.713950157E0
1.231450124E0,5.499000072E0,-3.340950251E0,2.713950157E0
1.251450124E0,6.379950523E0,-3.915000200E0,7.420500517E-1
1.271450124E0,7.087950230E0,-4.317000389E0,1.068000078E0
1.291450124E0,7.087950230E0,-4.317000389E0,1.068000078E0
1.311450124E0,8.850000381E0,-5.160000324E0,2.274000168E0
1.331450124E0,8.850000381E0,-5.160000324E0,2.274000168E0
1.351450124E0,8.199000359E0,-5.524050236E0,4.246050358E0
1.371450124E0,8.199000359E0,-5.524050236E0,4.246050358E0
1.391450124E0,8.754000664E0,-4.891950130E0,1.699050069E0
1.411450124E0,8.754000664E0,-4.528050423E0,1.336050034E0
1.431450124E0,8.754000664E0,-4.528050423E0,1.336050034E0
1.451450124E0,9.501000404E0,-5.101950169E0,3.400500119E-1
1.471450124E0,9.501000404E0,-5.101950169E0,3.400500119E-1
1.491450124E0,9.501000404E0,-5.101950169E0,3.400500119E-1
1.511450124E0,1.047705078E1,-5.773050308E0,1.756950140E0
1.531450124E0,1.047705078E1,-5.773050308E0,1.756950140E0
1.551450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.571450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.591450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.611450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.631450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.651450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.671450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.691450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.711450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.731450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.751450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.771450124E0,1.158795071E1,-5.256000042E0,7.800000310E-1
1.791450124E0,1.214295101E1,-5.101950169E0,-3.289500177E-1
1.811450124E0,1.214295101E1,-5.101950169E0,-3.289500177E-1
1.831450124E0,1.132005024E1,-6.883050442E0,4.246050358E0
1.851450124E0,1.132005024E1,-6.883050442E0,4.246050358E0
1.871450124E0,1.132005024E1,-6.883050442E0,4.246050358E0
1.891450124E0,9.175050735E0,-9.411000252E0,-2.377950191E0
1.911450124E0,9.175050735E0,-9.411000252E0,-2.377950191E0
1.931450124E0,7.624050140E0,-6.403950214E0,1.395000052E-2
1.951450124E0,7.624050140E0,-6.403950214E0,1.395000052E-2
1.971450124E0,7.624050140E0,-6.403950214E0,1.395000052E-2
1.991450124E0,7.471050262E0,-6.442950249E0,1.182000041E0
2.011450124E0,7.471050262E0,-6.442950249E0,1.182000041E0
2.031450124E0,8.352000237E0,-6.097950459E0,8.569500446E-1
2.051450124E0,8.352000237E0,-6.097950459E0,8.569500446E-1
2.071450124E0,7.681950569E0,-4.509000301E0,1.029000044E0
2.091450124E0,7.681950569E0,-4.509000301E0,1.029000044E0
2.111450124E0,7.681950569E0,-4.509000301E0,1.029000044E0
2.131450124E0,8.065050125E0,-2.728050232E0,3.780000210E-1
2.151450124E0,8.065050125E0,-2.728050232E0,3.780000210E-1
2.171450124E0,7.011000156E0,-8.050950050E0,4.074000359E0
2.191450124E0,7.011000156E0,-8.050950050E0,4.074000359E0
