"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.545012200E-2,-1.237499993E-3,-4.124999978E-3,-2.158750035E-2
5.145012400E-2,-1.237499993E-3,-4.124999978E-3,-2.158750035E-2
7.145012400E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.145012400E-2,-8.648750186E-2,7.570750117E-1,-3.367374837E-1
1.114501240E-1,-8.648750186E-2,7.570750117E-1,-3.367374837E-1
1.314501240E-1,-8.648750186E-2,7.570750117E-1,-3.367374837E-1
1.514501240E-1,-9.968750179E-2,7.612000108E-1,-1.703625023E-1
1.714501240E-1,-9.968750179E-2,7.612000108E-1,-1.703625023E-1
1.914501240E-1,-1.564749926E-1,5.061374903E-1,-1.652749926E-1
2.114501240E-1,-1.564749926E-1,5.061374903E-1,-1.652749926E-1
2.314501240E-1,-1.564749926E-1,5.061374903E-1,-1.652749926E-1
2.514501240E-1,-1.575749964E-1,2.560249865E-1,-5.981250107E-2
2.714501240E-1,-1.575749964E-1,2.560249865E-1,-5.981250107E-2
2.914501240E-1,-1.575749964E-1,2.560249865E-1,-5.981250107E-2
3.114501240E-1,-1.575749964E-1,2.560249865E-1,-5.981250107E-2
3.314501240E-1,-1.575749964E-1,2.560249865E-1,-5.981250107E-2
3.514501240E-1,-3.782624900E-1,-5.031124949E-1,1.691250056E-1
3.714501240E-1,-3.782624900E-1,-5.031124949E-1,1.691250056E-1
3.914501240E-1,-3.845874965E-1,-8.328375220E-1,3.401750028E-1
4.114501240E-1,-3.845874965E-1,-8.328375220E-1,3.401750028E-1
4.314501240E-1,-4.413749874E-1,-1.067687511E0,4.299624860E-1
4.514501240E-1,-4.413749874E-1,-1.067687511E0,4.299624860E-1
4.714501240E-1,-4.413749874E-1,-1.067687511E0,4.299624860E-1
4.914501240E-1,-4.859249890E-1,-1.115124941E0,4.329875112E-1
5.114501240E-1,-4.859249890E-1,-1.115124941E0,4.329875112E-1
5.314501240E-1,-3.213374913E-1,-1.083362460E0,5.348749757E-1
5.514501240E-1,-3.213374913E-1,-1.083362460E0,5.348749757E-1
5.714501240E-1,-3.268375099E-1,-1.549899936E0,5.732374787E-1
5.914501240E-1,-3.268375099E-1,-1.549899936E0,5.732374787E-1
6.114501240E-1,-3.268375099E-1,-1.549899936E0,5.732374787E-1
6.314501240E-1,-2.563000023E-1,-1.494349957E0,6.444625258E-1
6.514501240E-1,-2.563000023E-1,-1.494349957E0,6.444625258E-1
6.714501240E-1,-2.563000023E-1,-1.494349957E0,6.444625258E-1
6.914501240E-1,-3.196874857E-1,-1.442237496E0,6.954749823E-1
7.114501240E-1,-3.196874857E-1,-1.442237496E0,6.954749823E-1
7.314501240E-1,-3.900874853E-1,-1.468775034E0,7.412624955E-1
7.514501240E-1,-3.900874853E-1,-1.468775034E0,7.412624955E-1
7.714501240E-1,-3.900874853E-1,-1.468775034E0,7.412624955E-1
7.914501240E-1,-3.900874853E-1,-1.468775034E0,7.412624955E-1
8.114501240E-1,-3.900874853E-1,-1.468775034E0,7.412624955E-1
8.314501240E-1,-1.041012526E0,-1.318487525E0,1.108662486E0
8.514501240E-1,-1.041012526E0,-1.318487525E0,1.108662486E0
