"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.752453000E-3,2.338950157E0,2.844000101E0,7.731000423E0
4.232431200E-2,3.832950115E0,1.981950045E0,8.152950287E0
5.832431400E-2,4.216050148E0,1.063050032E0,7.272000313E0
7.435050900E-2,4.560000420E0,6.990000606E-1,7.444050312E0
9.435050900E-2,4.197000027E0,1.197000027E0,8.076000214E0
1.143505090E-1,4.197000027E0,1.197000027E0,8.076000214E0
1.343505090E-1,4.197000027E0,1.197000027E0,8.076000214E0
1.543505090E-1,4.197000027E0,1.197000027E0,8.076000214E0
1.743505090E-1,4.197000027E0,1.197000027E0,8.076000214E0
1.943505090E-1,4.063050270E0,5.070000291E-1,8.611950874E0
2.143505090E-1,4.063050270E0,5.070000291E-1,8.611950874E0
2.343505090E-1,4.063050270E0,5.070000291E-1,8.611950874E0
2.543505090E-1,4.063050270E0,5.070000291E-1,8.611950874E0
2.743505090E-1,4.063050270E0,5.070000291E-1,8.611950874E0
2.943505090E-1,2.338950157E0,1.819500029E-1,9.091050148E0
3.143505090E-1,2.338950157E0,1.819500029E-1,9.091050148E0
3.343505090E-1,3.009000063E0,-8.505000174E-2,8.956950188E0
3.543505090E-1,3.009000063E0,-8.505000174E-2,8.956950188E0
3.743505090E-1,3.009000063E0,-8.505000174E-2,8.956950188E0
3.943505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
4.143505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
4.343505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
4.543505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
4.743505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
4.943505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
5.143505090E-1,2.377050161E0,-4.680000246E-1,7.483050346E0
5.343505090E-1,1.956000090E0,-2.728050232E0,6.468000412E0
5.543505090E-1,1.956000090E0,-2.728050232E0,6.468000412E0
5.743505090E-1,1.956000090E0,-2.728050232E0,6.468000412E0
5.943505090E-1,1.956000090E0,-2.728050232E0,6.468000412E0
6.143505090E-1,1.956000090E0,-2.728050232E0,6.468000412E0
6.343505090E-1,8.581950188E0,-4.948950291E0,8.191050529E0
6.543505090E-1,8.581950188E0,-4.948950291E0,8.191050529E0
6.743505090E-1,9.787950516E0,-6.117000103E0,8.785050392E0
6.943505090E-1,9.787950516E0,-6.117000103E0,8.785050392E0
7.143505090E-1,9.787950516E0,-6.117000103E0,8.785050392E0
7.343505090E-1,9.787950516E0,-6.117000103E0,8.785050392E0
7.543505090E-1,9.787950516E0,-6.117000103E0,8.785050392E0
7.743505090E-1,1.164600086E1,-5.848950386E0,7.195050240E0
7.943505090E-1,1.164600086E1,-5.848950386E0,7.195050240E0
8.143505090E-1,1.053495026E1,-5.524050236E0,5.338050365E0
8.343505090E-1,1.053495026E1,-5.524050236E0,5.338050365E0
8.543505090E-1,1.053495026E1,-5.524050236E0,5.338050365E0
8.743505090E-1,9.558000565E0,-5.562000275E0,4.993050098E0
8.943505090E-1,9.558000565E0,-5.562000275E0,4.993050098E0
9.143505090E-1,8.026050568E0,-5.217000484E0,4.744050026E0
9.343505090E-1,8.026050568E0,-5.217000484E0,4.744050026E0
9.543505090E-1,8.026050568E0,-5.217000484E0,4.744050026E0
9.743505090E-1,8.026050568E0,-5.217000484E0,4.744050026E0
9.943505090E-1,8.026050568E0,-5.217000484E0,4.744050026E0
1.014350509E0,7.471050262E0,-5.026050091E0,3.997050285E0
1.034350509E0,7.471050262E0,-5.026050091E0,3.997050285E0
1.054350509E0,7.471050262E0,-5.026050091E0,3.997050285E0
1.074350509E0,7.471050262E0,-5.026050091E0,3.997050285E0
1.094350509E0,7.471050262E0,-5.026050091E0,3.997050285E0
1.114350509E0,7.069050312E0,-5.370000362E0,4.419000149E0
1.134350509E0,7.069050312E0,-5.370000362E0,4.419000149E0
1.154350509E0,7.548000336E0,-5.409000397E0,4.762950420E0
1.174350509E0,7.548000336E0,-5.409000397E0,4.762950420E0
1.194350509E0,7.548000336E0,-5.409000397E0,4.762950420E0
1.214350509E0,7.548000336E0,-5.409000397E0,4.762950420E0
1.234350509E0,7.548000336E0,-5.409000397E0,4.762950420E0
1.254350509E0,7.414050579E0,-5.313000202E0,4.974000454E0
1.274350509E0,7.414050579E0,-5.313000202E0,4.974000454E0
1.294350509E0,7.414050579E0,-5.313000202E0,4.974000454E0
1.314350509E0,7.414050579E0,-5.313000202E0,4.974000454E0
1.334350509E0,7.414050579E0,-5.313000202E0,4.974000454E0
1.354350509E0,7.509000301E0,-5.044950008E0,5.299950123E0
1.374350509E0,7.509000301E0,-5.044950008E0,5.299950123E0
1.394350509E0,7.203000546E0,-4.891950130E0,5.625000477E0
1.414350509E0,7.203000546E0,-4.891950130E0,5.625000477E0
1.434350509E0,7.203000546E0,-4.891950130E0,5.625000477E0
1.454350509E0,7.393950462E0,-4.930050373E0,5.529000282E0
1.474350509E0,7.393950462E0,-4.930050373E0,5.529000282E0
1.494350509E0,7.126050472E0,-4.873050213E0,5.644050121E0
1.514350509E0,7.126050472E0,-4.873050213E0,5.644050121E0
1.534350509E0,7.183950424E0,-4.815000057E0,5.491050243E0
1.554350509E0,7.183950424E0,-4.815000057E0,5.491050243E0
1.574350509E0,7.183950424E0,-4.815000057E0,5.491050243E0
1.594350509E0,6.954000473E0,-4.681050301E0,4.858950138E0
1.614350509E0,6.954000473E0,-4.681050301E0,4.858950138E0
1.634350509E0,6.954000473E0,-4.681050301E0,4.858950138E0
1.654350509E0,6.954000473E0,-4.681050301E0,4.858950138E0
1.674350509E0,6.954000473E0,-4.681050301E0,4.858950138E0
1.694350509E0,7.299000263E0,-4.815000057E0,4.782000065E0
1.714350509E0,7.299000263E0,-4.815000057E0,4.782000065E0
1.734350509E0,7.432950497E0,-4.624050140E0,5.011950016E0
1.754350509E0,7.432950497E0,-4.624050140E0,5.011950016E0
1.774350509E0,7.432950497E0,-4.624050140E0,5.011950016E0
1.794350509E0,7.432950497E0,-4.624050140E0,5.011950016E0
1.814350509E0,7.432950497E0,-4.624050140E0,5.011950016E0
1.834350509E0,7.240950108E0,-4.297950268E0,5.050950050E0
1.854350509E0,7.240950108E0,-4.297950268E0,5.050950050E0
1.874350509E0,7.240950108E0,-4.297950268E0,5.050950050E0
1.894350509E0,7.240950108E0,-4.297950268E0,5.050950050E0
1.914350509E0,7.240950108E0,-4.297950268E0,5.050950050E0
1.934350509E0,8.697000504E0,-4.509000301E0,4.687050343E0
1.954350509E0,8.697000504E0,-4.509000301E0,4.687050343E0
1.974350509E0,8.697000504E0,-4.509000301E0,4.687050343E0
1.974350509E0,8.620050430E0,-4.450950146E0,4.591050148E0
2.014350509E0,8.620050430E0,-4.450950146E0,4.591050148E0
2.034350509E0,8.620050430E0,-4.450950146E0,4.591050148E0
2.054350509E0,8.620050430E0,-4.450950146E0,4.591050148E0
