"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.752453000E-3,7.624375224E-1,1.186762452E0,-1.803999990E-1
4.232431200E-2,1.787499990E-3,2.199999988E-3,6.049999967E-3
5.832431400E-2,1.787499990E-3,2.199999988E-3,6.049999967E-3
7.435050900E-2,-6.810374856E-1,-8.680375218E-1,6.997374892E-1
9.435050900E-2,-6.810374856E-1,-8.680375218E-1,6.997374892E-1
1.143505090E-1,-6.810374856E-1,-8.680375218E-1,6.997374892E-1
1.343505090E-1,-6.810374856E-1,-8.680375218E-1,6.997374892E-1
1.543505090E-1,-6.810374856E-1,-8.680375218E-1,6.997374892E-1
1.743505090E-1,-6.810374856E-1,-8.680375218E-1,6.997374892E-1
1.943505090E-1,-6.311249733E-1,-2.663374841E-1,1.706375033E-1
2.143505090E-1,-6.311249733E-1,-2.663374841E-1,1.706375033E-1
2.343505090E-1,-6.311249733E-1,-2.663374841E-1,1.706375033E-1
2.543505090E-1,-6.311249733E-1,-2.663374841E-1,1.706375033E-1
2.743505090E-1,-6.311249733E-1,-2.663374841E-1,1.706375033E-1
2.943505090E-1,-9.044749737E-1,-8.304999769E-2,-1.937374920E-1
3.143505090E-1,-9.044749737E-1,-8.304999769E-2,-1.937374920E-1
3.343505090E-1,-8.816499710E-1,1.025749967E-1,-3.772999942E-1
3.543505090E-1,-8.816499710E-1,1.025749967E-1,-3.772999942E-1
3.743505090E-1,-8.816499710E-1,1.025749967E-1,-3.772999942E-1
3.943505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
4.143505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
4.343505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
4.543505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
4.743505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
4.943505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
5.143505090E-1,-9.435250163E-1,3.239499927E-1,-6.571124792E-1
5.343505090E-1,-1.086937547E0,3.025000095E-1,-8.937500119E-1
5.543505090E-1,-1.086937547E0,3.025000095E-1,-8.937500119E-1
5.743505090E-1,-1.086937547E0,3.025000095E-1,-8.937500119E-1
5.943505090E-1,-1.086937547E0,3.025000095E-1,-8.937500119E-1
6.143505090E-1,-1.086937547E0,3.025000095E-1,-8.937500119E-1
6.343505090E-1,-2.096600056E0,-6.763625145E-1,-7.673875093E-1
6.543505090E-1,-2.096600056E0,-6.763625145E-1,-7.673875093E-1
6.743505090E-1,-1.933387518E0,-1.382974982E0,-1.143999994E-1
6.943505090E-1,-1.933387518E0,-1.382974982E0,-1.143999994E-1
7.143505090E-1,-1.933387518E0,-1.382974982E0,-1.143999994E-1
7.343505090E-1,-1.933387518E0,-1.382974982E0,-1.143999994E-1
7.543505090E-1,-1.933387518E0,-1.382974982E0,-1.143999994E-1
7.743505090E-1,-7.176125050E-1,-2.538112402E0,7.028999925E-1
7.943505090E-1,-7.176125050E-1,-2.538112402E0,7.028999925E-1
8.143505090E-1,1.546874940E-1,-2.544849873E0,8.857749701E-1
8.343505090E-1,1.546874940E-1,-2.544849873E0,8.857749701E-1
8.543505090E-1,1.546874940E-1,-2.544849873E0,8.857749701E-1
8.743505090E-1,4.889499843E-1,-2.044075012E0,8.234875202E-1
8.943505090E-1,4.889499843E-1,-2.044075012E0,8.234875202E-1
9.143505090E-1,3.481499851E-1,-1.770725012E0,7.066124678E-1
9.343505090E-1,3.481499851E-1,-1.770725012E0,7.066124678E-1
9.543505090E-1,3.481499851E-1,-1.770725012E0,7.066124678E-1
9.743505090E-1,3.481499851E-1,-1.770725012E0,7.066124678E-1
9.943505090E-1,3.481499851E-1,-1.770725012E0,7.066124678E-1
1.014350509E0,-1.201749966E-1,-7.555624843E-1,4.697000086E-1
1.034350509E0,-1.201749966E-1,-7.555624843E-1,4.697000086E-1
1.054350509E0,-1.201749966E-1,-7.555624843E-1,4.697000086E-1
1.074350509E0,-1.201749966E-1,-7.555624843E-1,4.697000086E-1
1.094350509E0,-1.201749966E-1,-7.555624843E-1,4.697000086E-1
1.114350509E0,-7.939249873E-1,1.315875053E-1,9.652499855E-2
1.134350509E0,-7.939249873E-1,1.315875053E-1,9.652499855E-2
1.154350509E0,-9.216625094E-1,4.844124913E-1,-7.383749634E-2
1.174350509E0,-9.216625094E-1,4.844124913E-1,-7.383749634E-2
1.194350509E0,-9.216625094E-1,4.844124913E-1,-7.383749634E-2
1.214350509E0,-9.216625094E-1,4.844124913E-1,-7.383749634E-2
1.234350509E0,-9.216625094E-1,4.844124913E-1,-7.383749634E-2
1.254350509E0,-9.635999799E-1,6.029375196E-1,-2.782999873E-1
1.274350509E0,-9.635999799E-1,6.029375196E-1,-2.782999873E-1
1.294350509E0,-9.635999799E-1,6.029375196E-1,-2.782999873E-1
1.314350509E0,-9.635999799E-1,6.029375196E-1,-2.782999873E-1
1.334350509E0,-9.635999799E-1,6.029375196E-1,-2.782999873E-1
1.354350509E0,-5.858874917E-1,7.298499942E-1,-3.367374837E-1
1.374350509E0,-5.858874917E-1,7.298499942E-1,-3.367374837E-1
1.394350509E0,-4.237749875E-1,5.798375010E-1,-3.583250046E-1
1.414350509E0,-4.237749875E-1,5.798375010E-1,-3.583250046E-1
1.434350509E0,-4.237749875E-1,5.798375010E-1,-3.583250046E-1
1.454350509E0,-1.971749961E-1,5.313000083E-1,-3.588750064E-1
1.474350509E0,-1.971749961E-1,5.313000083E-1,-3.588750064E-1
1.494350509E0,-1.413500011E-1,5.099874735E-1,-3.409999907E-1
1.514350509E0,-1.413500011E-1,5.099874735E-1,-3.409999907E-1
1.534350509E0,-1.280124933E-1,4.651624858E-1,-3.390749991E-1
1.554350509E0,-1.280124933E-1,4.651624858E-1,-3.390749991E-1
1.574350509E0,-1.280124933E-1,4.651624858E-1,-3.390749991E-1
1.594350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.614350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.634350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.654350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.674350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.694350509E0,-2.428250015E-1,1.003749967E-1,-2.118874937E-1
1.714350509E0,-2.428250015E-1,1.003749967E-1,-2.118874937E-1
